STATIONID,STATIONNAME,WALKING_TIME_MAX,WALKING_TIME_MIN,WALKING_TIME_AVER,DIRECTOR_E,TIME_TYPE,DATE_TYPE
150995993,西苑,103,22,63,出站,高峰,工作日
150996249,天通苑南,80,27,51,进站,全天,双休日
150996249,天通苑南,105,30,67,出站,全天,双休日
150996251,立水桥,114,49,79,进站,高峰,工作日
150996251,立水桥,119,54,86,出站,高峰,工作日
150996251,立水桥,90,28,58,进站,平峰,工作日
150996251,立水桥,140,43,87,出站,平峰,工作日
150996251,立水桥,90,28,58,进站,全天,双休日
150996251,立水桥,140,43,87,出站,全天,双休日
150996253,立水桥南,93,37,62,进站,高峰,工作日
150996253,立水桥南,89,47,69,出站,高峰,工作日
150996253,立水桥南,80,27,51,进站,平峰,工作日
150996253,立水桥南,105,30,67,出站,平峰,工作日
150996253,立水桥南,80,27,51,进站,全天,双休日
150996253,立水桥南,105,30,67,出站,全天,双休日
150996255,北苑路北,69,16,43,进站,高峰,工作日
150996255,北苑路北,139,28,76,出站,高峰,工作日
150996255,北苑路北,73,25,47,进站,平峰,工作日
150996255,北苑路北,135,31,76,出站,平峰,工作日
150996255,北苑路北,73,25,47,进站,全天,双休日
150996255,北苑路北,135,31,76,出站,全天,双休日
150996257,大屯路东,69,16,43,进站,高峰,工作日
150996257,大屯路东,139,28,76,出站,高峰,工作日
150996257,大屯路东,73,25,47,进站,平峰,工作日
150996257,大屯路东,135,31,76,出站,平峰,工作日
150996257,大屯路东,73,25,47,进站,全天,双休日
150996257,大屯路东,135,31,76,出站,全天,双休日
150996259,惠新西街北口,93,37,62,进站,高峰,工作日
150996259,惠新西街北口,89,47,69,出站,高峰,工作日
150996259,惠新西街北口,80,27,51,进站,平峰,工作日
150996259,惠新西街北口,105,30,67,出站,平峰,工作日
150996259,惠新西街北口,80,27,51,进站,全天,双休日
150996259,惠新西街北口,105,30,67,出站,全天,双休日
150996261,惠新西街南口,234,21,115,进站,高峰,工作日
150996261,惠新西街南口,161,45,101,出站,高峰,工作日
150996261,惠新西街南口,73,29,51,进站,平峰,工作日
150996261,惠新西街南口,177,20,90,出站,平峰,工作日
150996261,惠新西街南口,73,29,51,进站,全天,双休日
150996261,惠新西街南口,177,20,90,出站,全天,双休日
150996263,和平西桥,93,37,62,进站,高峰,工作日
150996263,和平西桥,89,47,69,出站,高峰,工作日
150996263,和平西桥,80,27,51,进站,平峰,工作日
150996263,和平西桥,105,30,67,出站,平峰,工作日
150996263,和平西桥,80,27,51,进站,全天,双休日
150996263,和平西桥,105,30,67,出站,全天,双休日
150996265,和平里北街,93,37,62,进站,高峰,工作日
150996265,和平里北街,89,47,69,出站,高峰,工作日
150996265,和平里北街,80,27,51,进站,平峰,工作日
150996265,和平里北街,105,30,67,出站,平峰,工作日
150996265,和平里北街,80,27,51,进站,全天,双休日
