BlockSectionID,BSLength
S01001-S01002,3740
S01002-S01001,3740
S01002-S01003,1921
S01003-S01002,1921
S01003-S01004,1953
S01004-S01003,1953
S01004-S01005,1479
S01005-S01004,1479
S01005-S01006,1810
S01006-S01005,1810
S01006-S01007,1778
S01007-S01006,1778
S01007-S01008,1313
S01008-S01007,1313
S01008-S01009,1172
S01009-S01008,1172
S01009-S01010,1166
S01010-S01009,1166
S01010-S01011,1291
S01011-S01010,1291
S01011-S01012,424
S01012-S01011,424
S01012-S01013,1596
S01013-S01012,1596
S01013-S01014,1217
S01014-S01013,1217
S01014-S01015,925
S01015-S01014,925
S01015-S01016,852
S01016-S01015,852
S01016-S01017,774
S01017-S01016,774
S01017-S01018,1230
S01018-S01017,1230
S01018-S01019,1377
S01019-S01018,1377
S01019-S01020,790
S01020-S01019,790
S01020-S01021,1385
S01021-S01020,1385
S01021-S01022,1673
S01022-S01021,1673
S01022-S01023,1714
S01023-S01022,1714
S01101-S01102,1715
S01102-S01101,1715
S01102-S01103,1375
S01103-S01102,1375
S01103-S01104,2002
S01104-S01103,2002
S01104-S01105,1894
S01105-S01104,1894
S01105-S01106,1912
S01106-S01105,1912
S01106-S01107,1763
S01107-S01106,1763
S01107-S01108,1700
S01108-S01107,1700
S01108-S01109,1465
S01109-S01108,1465
S01109-S01110,990
S01110-S01109,990
S01110-S01111,1225
S01111-S01110,1225
S01111-S01112,1257
S01112-S01111,1257
S01112-S01113,776
S01113-S01112,776
S02001-S02002,1899
S02001-S02018,1766
S02002-S02001,1899
S02002-S02003,910
S02003-S02002,910
S02003-S02004,960
S02004-S02003,960
S02004-S02005,1833
S02005-S02004,1833
S02005-S02006,1234
S02006-S02005,1234
S02006-S02007,929
S02007-S02006,929
S02007-S02008,851
S02008-S02007,851
S02008-S02009,1171
S02009-S02008,1171
S02009-S02010,1634
S02010-S02009,1634
S02010-S02011,1023
S02011-S02010,1023
S02011-S02012,946
S02012-S02011,946
S02012-S02013,1736
S02013-S02012,1736
S02013-S02014,1027
S02014-S02013,1027
S02014-S02015,824
S02015-S02014,824
S02015-S02016,2228
S02016-S02015,2228
S02016-S02017,792
S02017-S02016,792
S02017-S02018,1237
S02018-S02001,1766
S02018-S02017,1237
S02101-S02102,2999
S02102-S02101,3003
S02102-S02103,2999
S02103-S02104,20619
S02104-S02102,25568
S04001-S04002,1377
S04002-S04001,1363
S04002-S04003,1247
S04003-S04002,1251
S04003-S04004,1683
S04004-S04003,1672
S04004-S04005,1254
S04005-S04004,1295
S04005-S04006,887
S04006-S04005,887
S04006-S04007,903
S04007-S04006,900
S04007-S04008,1064
S04008-S04007,1064
S04008-S04009,1048
S04009-S04008,1051
S04009-S04010,1638
S04010-S04009,1635
S04010-S04011,1553
S04011-S04010,1517
S04011-S04012,1442
S04012-S04011,1441
S04012-S04013,1024
S04013-S04012,1025
S04013-S04014,1074
S04014-S04013,1100
S04014-S04015,1097
S04015-S04014,1097
S04015-S04016,869
S04016-S04015,869
S04016-S04017,1011
S04017-S04016,1011
S04017-S04018,815
S04018-S04017,815
S04018-S04019,1152
S04019-S04018,1152
S04019-S04020,1200
S04020-S04019,1200
S04020-S04021,1610
S04021-S04020,1643
S04021-S04022,1524
S04022-S04021,1531
S04022-S04023,827
S04023-S04022,827
S04023-S04024,989
S04024-S04023,989
S04024-S04102,2800
S04102-S04024,2800
S04102-S04103,5000
S04103-S04102,5000
S04103-S04104,1800
S04104-S04103,1800
S04104-S04105,1200
S04105-S04104,1200
S04105-S04106,1100
S04106-S04105,1100
S04106-S04107,1200
S04107-S04106,1200
S04107-S04108,1200
S04108-S04107,1200
S04108-S04109,1000
S04109-S04108,1000
S04109-S04110,1900
S04110-S04109,1900
S04110-S04111,2900
S04111-S04110,2900
S04111-S04112,1800
S04112-S04111,1800
S05001-S05002,941
S05002-S05001,941
S05002-S05003,964
S05003-S05002,964
S05003-S05004,1544
S05004-S05003,1544
S05004-S05005,1306
S05005-S05004,1306
S05005-S05006,1330
S05006-S05005,1330
S05006-S05007,2956
S05007-S05006,2956
S05007-S05008,1838
S05008-S05007,1838
S05008-S05009,1121
S05009-S05008,1121
S05009-S05010,1026
S05010-S05009,1026
S05010-S05011,1059
S05011-S05010,1059
S05011-S05012,1151
S05012-S05011,1151
S05012-S05013,866
S05013-S05012,866
S05013-S05014,791
S05014-S05013,791
S05014-S05015,1017
S05015-S05014,1017
S05015-S05016,848
S05016-S05015,848
S05016-S05017,945
S05017-S05016,945
S05017-S05018,822
S05018-S05017,822
S05018-S05019,877
S05019-S05018,877
S05019-S05020,1183
S05020-S05019,1183
S05020-S05021,1900
S05021-S05020,1900
S05021-S05022,905
S05022-S05021,905
S05022-S05023,1670
S05023-S05022,1670
S05101-S05102,2631
S05102-S05101,2631
S05102-S05103,1275
S05103-S05102,1275
S05103-S05104,2366
S05104-S05103,2366
S05104-S05105,1982
S05105-S05104,1982
S05105-S05106,993
S05106-S05105,993
S05106-S05107,1538
S05107-S05106,1538
S05107-S05108,1280
S05108-S05107,1280
S05108-S05109,1354
S05109-S05108,1354
S05109-S05110,2338
S05110-S05109,2338
S05110-S05111,2265
S05111-S05110,2265
S05111-S05112,2086
S05112-S05111,2086
S05112-S05113,1286
S05113-S05112,1286
S05113-S05114,1334
S05114-S05113,1334
S06001-S06002,1742
S06002-S06001,1742
S06002-S06003,1474
S06003-S06002,1474
S06003-S06004,1474
S06004-S06003,1474
S06004-S06005,1742
S06005-S06004,1742
S06005-S06006,1072
S06006-S06005,1072
S06006-S06007,1474
S06007-S06006,1474
S06007-S06008,1474
S06008-S06007,1474
S06008-S06009,1340
S06009-S06008,1340
S06009-S06010,2278
S06010-S06009,2278
S06010-S06011,1608
S06011-S06010,1608
S06011-S06012,1742
S06012-S06011,1742
S06012-S06013,1206
S06013-S06012,1206
S06013-S06014,1608
S06014-S06013,1608
S06014-S06015,1876
S06015-S06014,1876
S06015-S06016,1608
S06016-S06015,1608
S06016-S06017,3216
S06017-S06016,3216
S06017-S06018,1474
S06018-S06017,1474
S06018-S06019,1876
S06019-S06018,1876
S06019-S06020,1608
S06020-S06019,1608
S06020-S06021,2115
S06021-S06020,2557
S06021-S06022,1468
S06022-S06021,1543
S06022-S06023,1599
S06023-S06022,929
S06023-S06024,1346
S06024-S06023,1194
S06024-S06028,2115
S06025-S06027,2557
S06025-S06028,1468
S06027-S06025,1543
S06027-S06029,1599
S06028-S06024,929
S06028-S06025,1346
S06029-S06027,1194
S07001-S07002,935
S07002-S07001,734
S07002-S07003,1874
S07003-S07002,1374
S07003-S07004,885
S07004-S07003,1205
S07004-S07005,869
S07005-S07004,1016
S07005-S07006,1138
S07006-S07005,1332
S07006-S07007,1241
S07007-S07006,1311
S07007-S07008,781
